noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG
joy,88,abstract,4.525939325,3,1,2,2,2.37,8.0606,531.8157895,1.52,4.941
dune,89,concrete,3.005365894,4,1,3,8,4.46,5.1,623.65625,0.95,5.355
meek,89,abstract,2.928731837,4,1,3,8,2.22,4.1333,606.9393939,1.34,3.7
morsel,90,concrete,2.604220745,6,2,6,8,4.19,3.8667,683.3,0.79,4.807
miser,90,abstract,2.41173907,5,2,4,6,2.36,3.7308,704.7142857,1.38,3.708
troll,91,concrete,3.322076094,5,1,4,6,4.28,3.0286,636.3333333,1.16,5.686
setback,91,abstract,3.51396162,7,2,6,8,1.97,3.0606,620.4285714,1.13,3.25
fungus,92,concrete,3.483904097,6,2,6,10,4.59,3.3824,627.1388889,0.78,5.829
remorse,92,abstract,3.289021793,7,2,6,10,2.0,3.7576,588.6111111,1.05,2.879
church,93,concrete,5.019441484,6,1,3,2,4.9,4.4063,502.8648649,0.41,6.467
risk,93,abstract,4.984833925,4,1,4,2,1.63,3.4706,517.225,0.81,3.125
chasm,94,concrete,2.994588803,5,2,5,10,4.24,4.0,670.90625,1.2,4.115
ploy,94,abstract,3.088432679,4,1,3,12,2.21,3.7576,687.4375,1.15,2.516
froth,95,concrete,3.009602947,5,1,4,10,4.14,4.9412,667.8235294,1.15,5.613
upkeep,95,abstract,3.017955021,6,2,5,12,2.44,5.6061,674.0555556,1.37,2.5
vessel,96,concrete,3.934032794,6,2,5,6,4.66,5.0882,588.1944444,0.67,5.529
fate,96,abstract,4.224395371,4,1,3,8,1.53,5.3333,608.0294118,0.97,2.441
mosque,97,concrete,3.81034671,6,1,4,13,4.54,5.2667,609.2051282,0.92,6.258
verge,97,abstract,3.645125733,5,1,3,12,2.32,4.6176,599.1891892,1.31,4.344
pimp,98,concrete,3.091935073,4,1,4,14,4.18,2.8788,590.0789474,1.02,5.5
malice,98,abstract,2.994588803,6,2,5,12,1.72,2.4412,635.5882353,0.79,2.625
rhino,99,concrete,3.896859623,5,2,4,6,4.9,5.3529,592.0789474,0.3,6.829
phase,99,abstract,4.142117538,5,1,3,8,2.46,5.0882,617.1944444,1.26,2.971
wine,100,concrete,4.842080855,4,1,3,4,4.79,6.2286,523.0,0.5,6.618
role,100,abstract,4.943978809,4,1,3,6,2.19,5.6875,504.3783784,1.27,3.226
laughter,101,concrete,3.843102834,8,2,5,6,4.22,8.2258,532.5789474,1.34,5.188
triumph,101,abstract,4.010866043,7,2,6,6,2.17,8.2941,557.6410256,1.36,4.065
mauve,102,concrete,2.708572951,5,1,3,14,4.0,5.1212,719.3448276,1.41,4.968
innate,102,abstract,2.907923331,6,2,4,14,1.73,5.0,684.0571429,0.87,2.323
maggot,103,concrete,2.938773775,6,2,5,10,4.97,2.5588,588.7714286,0.18,6.485
taboo,103,abstract,3.13506842,5,2,4,10,1.67,3.2059,591.8333333,1.07,2.429
mistress,104,concrete,3.807670003,8,2,7,6,4.22,3.4545,549.3243243,1.04,5.412
menace,104,abstract,3.553068223,6,2,5,8,2.3,2.5714,577.2051282,1.02,3.857
strike,105,concrete,4.728596142,6,1,5,2,4.07,3.4242,508.0,1.24,5.147
excuse,105,abstract,4.858628567,6,2,7,4,2.29,3.6364,550.225,1.33,2.794
door,106,concrete,5.259750452,4,1,3,2,4.81,5.3548,498.4473684,0.65,6.686
power,106,abstract,5.289376175,5,2,3,4,2.04,5.7813,519.0857143,1.34,3.818
bomber,107,concrete,3.859791018,6,2,4,4,4.45,2.0667,637.925,0.93,4.9
nuisance,107,abstract,3.697901788,8,2,6,6,2.19,2.6857,626.7647059,1.27,3.314
waltz,108,concrete,3.751877988,5,1,5,4,4.52,6.4375,643.59375,0.57,5.667
premium,108,abstract,3.935535545,7,3,7,6,2.11,6.9697,603.5135135,1.1,2.886
weapon,109,concrete,4.291342161,6,2,5,4,4.76,2.3438,525.75,0.44,6.156
madness,109,abstract,4.029384483,7,2,6,6,1.97,2.6765,532.8717949,1.2,3.324
novel,110,concrete,4.429173753,5,2,5,6,4.21,6.4848,536.55,1.15,5.452
culture,110,abstract,4.725444089,7,2,5,6,2.04,6.8824,526.175,1.34,3.853
venom,111,concrete,3.755677614,5,2,5,10,4.62,2.5758,621.2702703,0.92,4.457
ordeal,111,abstract,3.632249469,6,2,5,10,2.04,2.6,625.5263158,1.15,3.429
comet,112,concrete,3.570217544,5,2,5,8,4.67,6.2353,570.0540541,1.03,6.121
upgrade,112,abstract,3.612715774,7,2,6,8,2.36,7.2,571.4102564,1.32,3.857
daybreak,113,concrete,2.926184648,8,2,6,4,4.21,6.9375,622.7575758,0.92,5.258
uplift,113,abstract,2.752640578,6,2,6,2,2.34,7.5484,599.3421053,1.26,3.273
tomb,114,concrete,3.693558807,4,1,3,6,4.73,3.0645,575.8157895,0.78,5.967
guilt,114,abstract,3.834038424,5,1,4,6,1.93,2.2121,564.3513514,1.36,3.0
click,115,concrete,4.062345437,5,1,4,6,4.03,5.0294,532.5277778,1.25,5.257
aspect,115,abstract,4.235940026,6,2,6,8,1.82,5.5313,546.9189189,1.1,1.943
audience,116,concrete,4.859910068,8,3,6,4,4.29,5.9032,543.2972973,0.9,6.065
attempt,116,abstract,4.600883728,7,2,6,6,2.22,5.8286,529.7,1.09,3.0
vomit,117,concrete,3.45615821,5,2,5,8,4.75,2.5429,544.1538462,0.65,6.559
neglect,117,abstract,3.647558762,7,2,7,6,2.26,1.5714,566.5,0.98,4.057
gag,118,concrete,3.407542955,3,1,3,6,4.37,2.9118,579.2368421,0.96,5.333
dread,118,abstract,3.6576312,5,1,4,4,1.86,2.0645,600.8055556,1.06,2.875
urine,119,concrete,3.640711635,5,2,4,8,4.93,4.2571,572.6315789,0.27,6.4
rogue,119,abstract,3.876721307,5,1,3,10,2.32,3.5429,569.974359,1.38,4.424
treasure,120,concrete,4.458939027,8,2,5,2,4.32,7.8235,499.5135135,1.02,6.143
pleasure,120,abstract,4.662909149,8,2,5,2,2.04,8.0909,534.5263158,1.26,3.677
musket,121,concrete,2.938773775,6,2,6,6,4.67,3.7333,697.969697,0.82,5.833
gripe,121,abstract,2.691370921,5,1,4,6,2.15,3.5,653.5806452,1.01,2.704
singer,122,concrete,4.482345199,6,2,4,2,4.62,6.8571,558.6486486,0.86,6.382
