"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
67,"Concrete","A1","underground",4.306395889,"adjective",11,7.37,4.07
68,"Abstract","A1","overlook",3.147522162,"verb",8,9.72,2.41
68,"Concrete","A1","strangle",3.100569443,"verb",8,7.74,4.34
69,"Abstract","A2","dreamland",2.645125733,"noun",9,7.29,1.73
69,"Concrete","A2","treetop",2.508649083,"noun",7,5.65,4.74
70,"Abstract","A1","evangelical",3.093675735,"adjective",11,12.94,2.23
70,"Concrete","A1","mercenary",2.832456293,"adjective",9,13,4.3
71,"Abstract","A1","permissiveness",1.737128411,"noun",14,12.53,1.81
71,"Concrete","A1","schoolmistress",1.473886977,"noun",14,14,4.19
72,"Abstract","A1","cumulative",2.756433567,"adjective",10,12.95,2.29
72,"Concrete","A1","cashmere",2.806325436,"adjective",8,13.05,4.72
73,"Abstract","A1","conformist",2.553068223,"noun",10,13.41,1.93
73,"Concrete","A1","syllabus",2.564967446,"noun",8,13.74,4.07
74,"Abstract","A2","alas",3.425710012,"name",4,9.78,1.56
74,"Concrete","A2","canyon",3.384155548,"name",6,8.39,4.81
75,"Abstract","A1","colloquialism",1.695735726,"noun",13,14.76,1.88
75,"Concrete","A1","hydrochloride",1.649978236,"noun",13,13.95,4.17
76,"Abstract","A2","upsides",2.12709949,"noun",7,9.26,2.46
76,"Concrete","A2","aircrew",2.41173907,"noun",7,10.15,4.04
77,"Abstract","A2","sacredness",1.598825713,"noun",10,10.18,1.72
77,"Concrete","A2","centimeter",1.540833766,"noun",10,8.56,4.13
78,"Abstract","A1","mutuality",1.649978236,"noun",9,13.05,1.75
78,"Concrete","A1","stockyard",1.598825713,"noun",9,11.14,4.58
79,"Abstract","A2","bravery",3.834669666,"noun",7,8.32,1.96
79,"Concrete","A2","rider",3.96454763,"noun",5,6.37,4.07
80,"Abstract","A2","materialist",1.649978236,"noun",11,12.41,2.37
80,"Concrete","A2","speedball",1.473886977,"noun",9,12.27,4.04
81,"Abstract","A2","unease",3.120617363,"noun",6,8.42,1.93
81,"Concrete","A2","scab",2.97219753,"noun",4,6.65,4.71
82,"Abstract","A1","consequent",2.200885705,"adjective",10,10.9,1.83
82,"Concrete","A1","hieroglyphic",2.239803771,"adjective",12,12,4.07
83,"Abstract","A2","ethics",3.433723053,"noun",6,11.06,2.28
83,"Concrete","A2","jasmine",3.694866267,"noun",7,10.26,4.55
84,"Abstract","A1","unfamiliarity",1.394705731,"noun",13,11.85,2.2
84,"Concrete","A1","seismograph",1.598825713,"noun",11,10.65,4.54
85,"Abstract","A2","solidarity",3.508649083,"noun",10,13.3,1.9
85,"Concrete","A2","database",3.66281546,"noun",8,14.2,4
86,"Abstract","A2","fixation",2.767617734,"noun",8,11.33,1.67
86,"Concrete","A2","turret",2.918452197,"noun",6,12,4.61
87,"Abstract","A1","former",4.99878051,"adjective",6,8.45,2.18
87,"Concrete","A1","military",4.81834475,"adjective",8,8.2,4
88,"Abstract","A1","phantom",3.436887325,"name",7,8.35,2.43
88,"Concrete","A1","minty",3.421647358,"name",5,7.9,4.11
89,"Abstract","A2","elect",3.633253618,"verb",5,7.28,2.41
89,"Concrete","A2","peg",3.665151639,"verb",3,6.83,4.93
90,"Abstract","A1","vanishing",3.091935073,"verb",9,8.32,2.36
90,"Concrete","A1","sibling",3.191280064,"verb",7,7.58,4.37
91,"Abstract","A2","disgust",3.262762092,"noun",7,7.68,2.19
91,"Concrete","A2","tinsel",3.051761583,"noun",6,6.61,4.82
92,"Abstract","A2","envy",3.63674997,"noun",4,8.37,1.69
92,"Concrete","A2","dye",3.485316438,"noun",3,7.56,4.58
93,"Abstract","A1","splendid",4.046371334,"adjective",8,7.22,1.79
93,"Concrete","A1","cloudy",4.166440156,"adjective",6,5.5,4
94,"Abstract","A2","thrill",3.858300133,"noun",6,8.37,2.46
94,"Concrete","A2","perfume",3.935285447,"noun",7,7.06,4.66
95,"Abstract","A2","mood",4.502458229,"noun",4,6.58,1.75
95,"Concrete","A2","trophy",4.374436161,"noun",6,5.55,4.89
96,"Abstract","A2","choice",5.025601212,"noun",6,5.17,1.9
96,"Concrete","A2","record",5.11499737,"noun",6,6.3,4.15
97,"Abstract","A2","creativity",3.752640578,"noun",10,8.32,1.8
97,"Concrete","A2","parachute",3.71193308,"noun",9,7,4.78
98,"Abstract","A2","helpfulness",1.540833766,"noun",11,7.24,1.83
98,"Concrete","A2","crosswalk",1.297795718,"noun",9,6.61,4.62
99,"Abstract","A1","recommit",1.996765722,"verb",8,12.61,1.92
99,"Concrete","A1","embroider",2.057463562,"verb",9,11,4.22
100,"Abstract","A1","jinx",3.122246988,"name",4,7.89,2.03
100,"Concrete","A1","cove",3.266278666,"name",4,9.63,4.57
101,"Abstract","A2","thanks",5.430871344,"noun",6,3.53,2.15
101,"Concrete","A2","door",5.259750452,"noun",4,3.05,4.81
102,"Abstract","A1","ageless",2.172856981,"adjective",7,10.3,2.03
102,"Concrete","A1","snakeskin",2.329204182,"adjective",9,9.28,4.72
103,"Abstract","A1","toughness",2.926184648,"noun",9,8.67,2.41
103,"Concrete","A1","quicksand",2.883256447,"noun",9,9.6,4.75
104,"Abstract","A1","peaceful",4.200885705,"adjective",8,7.22,2.27
104,"Concrete","A1","blonde",3.919750538,"adjective",6,6.06,4.52
105,"Abstract","A2","mislead",2.992400916,"verb",7,9.65,2.41
105,"Concrete","A2","frosted",2.857103728,"verb",7,7.72,4
106,"Abstract","A2","goofiness",1.598825713,"noun",9,6.85,2
106,"Concrete","A2","dewdrop",1.737128411,"noun",7,8.68,4.69
107,"Abstract","A1","upstanding",2.910579574,"verb",10,10.94,2.04
107,"Concrete","A1","snowboarding",2.996765722,"verb",12,11.18,4.43
108,"Abstract","A1","amenable",2.508649083,"adjective",8,14.14,1.86
108,"Concrete","A1","jugular",2.799539447,"adjective",7,12.95,4.19
109,"Abstract","A1","dynamic",3.923365376,"adjective",7,12,2.44
109,"Concrete","A1","prawn",3.660937427,"adjective",5,13.06,4.62
110,"Abstract","A2","purist",2.708572951,"noun",6,12.11,2.38
110,"Concrete","A2","riser",2.587830329,"noun",5,10.56,4.03
111,"Abstract","A1","protracted",2.923622431,"adjective",10,11.35,1.92
111,"Concrete","A1","manicured",2.880427157,"adjective",9,11.85,4.11
112,"Abstract","A1","vicinity",3.142893758,"noun",8,10.28,2.37
112,"Concrete","A1","stonemason",2.874712673,"noun",10,10.35,4.56
113,"Abstract","A2","approval",3.949558165,"noun",8,7.95,2.33
113,"Concrete","A2","hunter",4.181457153,"noun",6,6.53,4.41
114,"Abstract","A2","substandard",2.546994075,"noun",11,13.84,2.24
114,"Concrete","A2","wholegrain",2.488127416,"noun",10,13.19,4.19
115,"Abstract","A1","validation",2.587830329,"noun",10,12.06,2.24
115,"Concrete","A1","ejaculation",2.358493558,"noun",11,13.18,4.17
116,"Abstract","A2","reform",4.63400521,"noun",6,12.74,2
116,"Concrete","A2","euro",4.575519506,"noun",4,13.89,4.3
117,"Abstract","A2","behavior",2.017955021,"noun",8,7.05,2.19
117,"Concrete","A2","chalkboard",1.974489327,"noun",10,5.78,4.97
118,"Abstract","A2","manner",4.173291058,"noun",6,6.83,1.62
118,"Concrete","A2","coal",4.322589141,"noun",4,6.65,4.66
119,"Abstract","A1","bigheaded",1.598825713,"verb",9,10.33,2.36
119,"Concrete","A1","handwoven",1.473886977,"verb",9,11.11,4.29
120,"Abstract","A1","variable",3.354700569,"adjective",8,10.47,2.24
120,"Concrete","A1","metallic",3.281196456,"adjective",8,9.63,4.03
121,"Abstract","A1","overall",4.625256827,"adjective",7,8.28,1.76
121,"Concrete","A1","pregnant",4.433246417,"adjective",8,6.76,4.59
122,"Abstract","A1","procrastination",2.18709742,"noun",15,11.63,1.96
122,"Concrete","A1","straightjacket",1.996765722,"noun",14,10.26,4.69
123,"Abstract","A1","funk",3.184286443,"noun",4,9.95,1.92
123,"Concrete","A1","bran",2.928731837,"noun",4,9.95,4.48
124,"Abstract","A1","ungraceful",1.297795718,"adjective",10,8.67,1.85
124,"Concrete","A1","longhaired",1.172856981,"adjective",10,7.05,4.18
125,"Abstract","A1","remorse",3.289021793,"noun",7,11.11,2
125,"Concrete","A1","saline",3.19404628,"noun",6,11.71,4.48
126,"Abstract","A2","laziness",2.838750526,"noun",8,6.74,2.21
126,"Concrete","A2","gerbil",2.822840525,"noun",6,7.06,4.71
127,"Abstract","A1","uncommon",3.313783823,"adjective",8,8.95,2.38
127,"Concrete","A1","pedestal",3.162603347,"adjective",8,10.8,4.48
128,"Abstract","A2","temptation",3.754161751,"noun",10,8.35,1.84
128,"Concrete","A2","camouflage",3.578260264,"noun",10,7.53,4.24
129,"Abstract","A1","amaze",3.222075004,"verb",5,7.5,2
129,"Concrete","A1","churn",3.128705017,"verb",5,9,4
130,"Abstract","A2","untruth",2.075946968,"noun",7,7.58,2.21
130,"Concrete","A2","zucchini",2.339188403,"noun",8,6.79,4.87
131,"Abstract","A2","unfairness",3.075946968,"noun",10,7.42,1.67
131,"Concrete","A2","sheepdog",3.100569443,"noun",8,7.11,4.72
132,"Abstract","A1","tolerable",2.481065561,"adjective",9,10,2.04
