,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
209,letdown,35,abstract,2.508649083,noun,7,10.28,1.83,1.04,baseline,kmlsdjtw,kmlsdjtw letdown
210,grave,36,concrete,4.198162846,noun,5,7.06,4.56,0.8,subsective,true,true grave
211,grave,36,concrete,4.198162846,noun,5,7.06,4.56,0.8,privative,phony,phony grave
212,grave,36,concrete,4.198162846,noun,5,7.06,4.56,0.8,baseline,mghljkqr,mghljkqr grave
213,pity,36,abstract,4.095236388,noun,4,8.72,1.87,1.14,subsective,old,old pity
214,pity,36,abstract,4.095236388,noun,4,8.72,1.87,1.14,privative,imaginary,imaginary pity
215,pity,36,abstract,4.095236388,noun,4,8.72,1.87,1.14,baseline,bxfjwts,bxfjwts pity
216,hemp,37,concrete,2.620015012,noun,4,12.94,4.85,0.46,subsective,typical,typical hemp
217,hemp,37,concrete,2.620015012,noun,4,12.94,4.85,0.46,privative,spurious,spurious hemp
218,hemp,37,concrete,2.620015012,noun,4,12.94,4.85,0.46,baseline,kmlsdjtw,kmlsdjtw hemp
219,snub,37,abstract,2.614813819,noun,4,12.1,2.41,1.15,subsective,perfect,perfect snub
220,snub,37,abstract,2.614813819,noun,4,12.1,2.41,1.15,privative,mock,mock snub
221,snub,37,abstract,2.614813819,noun,4,12.1,2.41,1.15,baseline,zbxlv,zbxlv snub
222,pendant,38,concrete,3.457663565,noun,7,10.3,4.75,0.59,subsective,genuine,genuine pendant
223,pendant,38,concrete,3.457663565,noun,7,10.3,4.75,0.59,privative,fictional,fictional pendant
224,pendant,38,concrete,3.457663565,noun,7,10.3,4.75,0.59,baseline,mtpv,mtpv pendant
225,urgency,38,abstract,3.582226451,noun,7,9.81,2.03,1.12,subsective,real,real urgency
226,urgency,38,abstract,3.582226451,noun,7,9.81,2.03,1.12,privative,mythical,mythical urgency
227,urgency,38,abstract,3.582226451,noun,7,9.81,2.03,1.12,baseline,qxsw,qxsw urgency
228,crypt,39,concrete,2.871826985,noun,5,10.68,4.75,0.61,subsective,current,current crypt
229,crypt,39,concrete,2.871826985,noun,5,10.68,4.75,0.61,privative,false,false crypt
230,crypt,39,concrete,2.871826985,noun,5,10.68,4.75,0.61,baseline,xkq,xkq crypt
231,piety,39,abstract,2.664218675,noun,5,12.6,1.56,0.82,subsective,bad,bad piety
232,piety,39,abstract,2.664218675,noun,5,12.6,1.56,0.82,privative,fake,fake piety
233,piety,39,abstract,2.664218675,noun,5,12.6,1.56,0.82,baseline,kmlsdjtw,kmlsdjtw piety
234,rotator,40,concrete,1.974489327,noun,7,13.5,4.45,0.78,subsective,unique,unique rotator
235,rotator,40,concrete,1.974489327,noun,7,13.5,4.45,0.78,privative,virtual,virtual rotator
236,rotator,40,concrete,1.974489327,noun,7,13.5,4.45,0.78,baseline,rvqf,rvqf rotator
237,levity,40,abstract,2.18709742,noun,6,14.78,1.81,1.06,subsective,genuine,genuine levity
238,levity,40,abstract,2.18709742,noun,6,14.78,1.81,1.06,privative,fictional,fictional levity
239,levity,40,abstract,2.18709742,noun,6,14.78,1.81,1.06,baseline,vpbyzkgrf,vpbyzkgrf levity
240,author,41,concrete,4.233554821,noun,6,7.1,4.26,1.1,subsective,average,average author
241,author,41,concrete,4.233554821,noun,6,7.1,4.26,1.1,privative,fabricated,fabricated author
