"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","Length","Syllables.CMU","Phonemes.CMU","AoA.BrysbaertBiemiller","CNC.Brysbaert","VAL.Glasgow_Norms","RT.BLP"
130,"Abstract","A2","premium",3.935535545,7,3,7,6,2.11,6.9697,603.5135135
130,"Concrete","A2","waltz",3.751877988,5,1,5,4,4.52,6.4375,643.59375
131,"Abstract","A1","madness",4.029384483,7,2,6,6,1.97,2.6765,532.8717949
131,"Concrete","A1","weapon",4.291342161,6,2,5,4,4.76,2.3438,525.75
132,"Abstract","A1","courage",4.208953326,7,2,4,4,1.52,8.2353,539.275
132,"Concrete","A1","applause",4.209884861,8,2,5,2,4.29,7.8235,541.775
133,"Abstract","A1","health",5.1396399,6,1,4,2,2.28,7.3939,542.9230769
133,"Concrete","A1","girl",5.293452846,4,1,3,2,4.85,6.5,542.027027
134,"Abstract","A1","culture",4.725444089,7,2,5,6,2.04,6.8824,526.175
134,"Concrete","A1","novel",4.429173753,5,2,5,6,4.21,6.4848,536.55
135,"Abstract","A2","ordeal",3.632249469,6,2,5,10,2.04,2.6,625.5263158
135,"Concrete","A2","venom",3.755677614,5,2,5,10,4.62,2.5758,621.2702703
136,"Abstract","A2","sorrow",3.562613541,6,2,4,2,2.36,2.0606,527.972973
136,"Concrete","A2","shotgun",3.487426375,7,2,6,2,4.96,2.6,538.6923077
137,"Abstract","A2","upgrade",3.612715774,7,2,6,8,2.36,7.2,571.4102564
137,"Concrete","A2","comet",3.570217544,5,2,5,8,4.67,6.2353,570.0540541
138,"Abstract","A1","uplift",2.752640578,6,2,6,2,2.34,7.5484,599.3421053
138,"Concrete","A1","daybreak",2.926184648,8,2,6,4,4.21,6.9375,622.7575758
139,"Abstract","A1","despair",3.809010419,7,2,6,6,2.21,2.0303,577.9473684
139,"Concrete","A1","slime",3.57079699,5,1,4,6,4.48,3,583.0540541
140,"Abstract","A2","guilt",3.834038424,5,1,4,6,1.93,2.2121,564.3513514
140,"Concrete","A2","tomb",3.693558807,4,1,3,6,4.73,3.0645,575.8157895
141,"Abstract","A1","aspect",4.235940026,6,2,6,8,1.82,5.5313,546.9189189
141,"Concrete","A1","click",4.062345437,5,1,4,6,4.03,5.0294,532.5277778
142,"Abstract","A2","attempt",4.600883728,7,2,6,6,2.22,5.8286,529.7
142,"Concrete","A2","audience",4.859910068,8,3,6,4,4.29,5.9032,543.2972973
143,"Abstract","A2","neglect",3.647558762,7,2,7,6,2.26,1.5714,566.5
143,"Concrete","A2","vomit",3.45615821,5,2,5,8,4.75,2.5429,544.1538462
144,"Abstract","A2","dread",3.6576312,5,1,4,4,1.86,2.0645,600.8055556
144,"Concrete","A2","gag",3.407542955,3,1,3,6,4.37,2.9118,579.2368421
145,"Abstract","A1","rogue",3.876721307,5,1,3,10,2.32,3.5429,569.974359
145,"Concrete","A1","urine",3.640711635,5,2,4,8,4.93,4.2571,572.6315789
146,"Abstract","A2","moment",5.574383885,6,2,6,2,1.61,5.8667,532.1315789
146,"Concrete","A2","children",5.528346814,8,2,7,2,4.89,6.3,530.5675676
147,"Abstract","A2","pleasure",4.662909149,8,2,5,2,2.04,8.0909,534.5263158
147,"Concrete","A2","treasure",4.458939027,8,2,5,2,4.32,7.8235,499.5135135
148,"Abstract","A1","gripe",2.691370921,5,1,4,6,2.15,3.5,653.5806452
148,"Concrete","A1","musket",2.938773775,6,2,6,6,4.67,3.7333,697.969697
149,"Abstract","A2","talent",4.578999586,6,2,6,4,2.19,7.5938,517.9230769
149,"Concrete","A2","singer",4.482345199,6,2,4,2,4.62,6.8571,558.6486486
150,"Abstract","A1","brink",3.823488242,5,1,5,10,2.48,3.9667,641.2432432
150,"Concrete","A1","dung",3.545768984,4,1,3,12,4.64,3.4194,603.3939394
151,"Abstract","A2","wisdom",3.922335631,6,2,6,2,1.53,8.1875,564.4210526
151,"Concrete","A2","daylight",3.889972475,8,2,5,2,4.1,7.6471,540.0526316
152,"Abstract","A2","peace",4.743399921,5,1,3,2,1.62,8.6471,530.7894737
152,"Concrete","A2","laugh",4.773430592,5,1,3,2,4.21,8.4118,534.3421053
153,"Abstract","A2","strife",3.158133724,6,1,5,12,2.2,3.4545,644.03125
153,"Concrete","A2","ulcer",2.863053061,5,2,4,10,4.69,2.9118,618.8787879
154,"Abstract","A2","outrage",3.58391522,7,2,5,13,2.45,2.3714,584.0789474
154,"Concrete","A2","hooker",3.460658711,6,2,4,12,4.5,2.4848,573.6571429
155,"Abstract","A2","nonsense",4.270114291,8,2,7,4,2.38,3.3939,559.8974359
155,"Concrete","A2","stroke",4.189193777,6,1,5,4,4.1,3.8,555.2972973
156,"Abstract","A1","fraud",4.251192943,5,1,4,6,1.68,2.2571,586.475
156,"Concrete","A1","exam",4.104992378,4,2,5,4,4.48,3.2059,548.6315789
157,"Abstract","A2","dissent",3.21687381,7,2,6,12,2.17,3.1,685.7666667
157,"Concrete","A2","carcass",3.451610582,7,2,6,10,4.46,2.6,705.2333333
158,"Abstract","A2","issue",5.182392858,5,2,3,6,2.37,3.6765,518.55
158,"Concrete","A2","court",5.103194617,5,1,4,4,4.31,4.1333,528.5789474
159,"Abstract","A1","success",4.91626221,7,2,6,4,2.21,8.3529,528.5263158
159,"Concrete","A1","smile",4.712518439,5,1,4,2,4.5,8.2813,571.6578947
