Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-koj1,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1690209237013,24/07/2023 14:33:57,1690212837013,1,24/07/2023 16:33:57,135241,8,questionnaire-cmun,,30837220,BLIND,9155930,,complete,,64be99d09da1a5a624b8e88f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,834x1194,1194x727,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209262163,24/07/2023 14:34:22,1690212862163,1,24/07/2023 16:34:22,135241,8,questionnaire-cmun,,30837227,BLIND,9155932,,complete,,64be99c779f34e6885b8e89a,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x929,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209268735,24/07/2023 14:34:28,1690212868735,1,24/07/2023 16:34:28,135241,8,questionnaire-cmun,,30837227,BLIND,9155932,,complete,,64be99c779f34e6885b8e89a,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x929,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209236336,24/07/2023 14:33:56,1690212836336,1,24/07/2023 16:33:56,135241,8,questionnaire-cmun,,30837228,BLIND,9155933,,complete,,64be99c2b96ead88ad4dddb4,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209240479,24/07/2023 14:34:00,1690212840479,1,24/07/2023 16:34:00,135241,8,questionnaire-cmun,,30837228,BLIND,9155933,,complete,,64be99c2b96ead88ad4dddb4,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209284244,24/07/2023 14:34:44,1690212884244,1,24/07/2023 16:34:44,135241,8,questionnaire-cmun,,30837266,BLIND,9155941,,complete,,64be99d0d3e12291dd6b77bb,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209294893,24/07/2023 14:34:54,1690212894893,1,24/07/2023 16:34:54,135241,8,questionnaire-cmun,,30837266,BLIND,9155941,,complete,,64be99d0d3e12291dd6b77bb,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209310252,24/07/2023 14:35:10,1690212910252,1,24/07/2023 16:35:10,135241,8,questionnaire-cmun,,30837284,BLIND,9155944,,complete,,64be9a23984d54edb664ce8b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1440x821,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209313648,24/07/2023 14:35:13,1690212913648,1,24/07/2023 16:35:13,135241,8,questionnaire-cmun,,30837284,BLIND,9155944,,complete,,64be9a23984d54edb664ce8b,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1440x821,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209369592,24/07/2023 14:36:09,1690212969592,1,24/07/2023 16:36:09,135241,8,questionnaire-cmun,,30837311,BLIND,9155946,,complete,,64be9a641d08fcc630e2d046,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1439x716,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209400735,24/07/2023 14:36:40,1690213000735,1,24/07/2023 16:36:40,135241,8,questionnaire-cmun,,30837311,BLIND,9155946,,complete,,64be9a641d08fcc630e2d046,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1439x716,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209420160,24/07/2023 14:37:00,1690213020160,1,24/07/2023 16:37:00,135241,8,questionnaire-cmun,,30837340,BLIND,9155955,,complete,,64be998a444faf85d833717d,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x633,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209477600,24/07/2023 14:37:57,1690213077600,1,24/07/2023 16:37:57,135241,8,questionnaire-cmun,,30837340,BLIND,9155955,,complete,,64be998a444faf85d833717d,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x633,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209424729,24/07/2023 14:37:04,1690213024729,1,24/07/2023 16:37:04,135241,8,questionnaire-cmun,,30837349,BLIND,9155958,,complete,,64be9a5362b5b1af9b90096e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x757,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209500147,24/07/2023 14:38:20,1690213100147,1,24/07/2023 16:38:20,135241,8,questionnaire-cmun,,30837349,BLIND,9155958,,complete,,64be9a5362b5b1af9b90096e,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x757,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209449071,24/07/2023 14:37:29,1690213049071,1,24/07/2023 16:37:29,135241,8,questionnaire-cmun,,30837364,BLIND,9155961,,complete,,64be99cfb66339a18478c46a,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x880,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209469606,24/07/2023 14:37:49,1690213069606,1,24/07/2023 16:37:49,135241,8,questionnaire-cmun,,30837364,BLIND,9155961,,complete,,64be99cfb66339a18478c46a,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x880,,Information sheet,3,A,,,,,5,,END,,,,,
