"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","AoA.Kuperman","CNC.Brysbaert","RT.BLP"
76,"LowFreq","A2","floodlight",2.172856981,8.68,4.67,590.7
76,"HighFreq","A2","tee",3.848635323,8.21,4.59,576
77,"LowFreq","A1","floodgate",1.695735726,11.17,4.43,680.0625
77,"HighFreq","A1","loin",3.470252692,11.06,4.38,681.7142857
78,"LowFreq","A1","steamship",2.451610582,7.06,4.63,670.9666667
78,"HighFreq","A1","cowgirl",2.68250746,6.74,4.63,685.3142857
79,"LowFreq","A1","boaster",1.737128411,11.12,2.46,707
79,"HighFreq","A1","senile",2.640218398,11.26,2.46,692.8787879
80,"LowFreq","A1","gallstone",1.737128411,13.11,4.68,701.5172414
80,"HighFreq","A1","onyx",2.883256447,13.29,4.64,709.6086957
81,"LowFreq","A1","frill",2.18709742,8.59,3.13,560.2258065
81,"HighFreq","A1","listing",3.353747123,8.58,3.15,540.8421053
82,"LowFreq","A2","sprayer",2.227214643,7.71,4.62,665.5769231
82,"HighFreq","A2","stork",2.865997442,7.65,4.72,648.3125
83,"LowFreq","A1","lovesick",2.443923753,9.68,2.09,671.8648649
83,"HighFreq","A1","knack",3.358493558,9.78,2.05,690.5882353
84,"LowFreq","A1","drumbeat",2.339188403,8.2,4.21,729.09375
84,"HighFreq","A1","trough",3.316912008,8.41,4.17,720.96875
85,"LowFreq","A1","breakup",2.18709742,9.2,2,591.8378378
85,"HighFreq","A1","richness",3.455403571,9.28,2.04,607.0294118
86,"LowFreq","A2","theorist",2.495076276,11.84,2.54,610.5526316
86,"HighFreq","A2","grounding",3.074133627,11.56,2.56,600.6388889
87,"LowFreq","A2","eyeglass",2.286800333,6.33,4.7,585.7428571
87,"HighFreq","A2","armpit",2.990201952,6,4.8,566.4473684
88,"LowFreq","A1","handcart",2.142893758,7.31,4.67,697.5555556
88,"HighFreq","A1","mantel",3.210283479,7.72,4.64,701.8823529
89,"LowFreq","A1","tassel",2.252038227,9.35,4.73,669.4444444
89,"HighFreq","A1","gong",3.432132228,9.62,4.7,657.9090909
90,"LowFreq","A2","shipmate",2.34894824,9.42,4.52,657.0540541
90,"HighFreq","A2","chauffeur",3.297795718,9.84,4.43,665.6571429
91,"LowFreq","A2","songbook",2.358493558,6.39,4.63,631.3333333
91,"HighFreq","A2","preacher",3.333225456,6.11,4.7,620.2702703
