,set_nr,specificity,word1,word2,probe,answer,length,zipf,CNC_M,CNC_SD,imageability,valence,AoA,RT
280,94,mid,underwater,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
281,94,low,htbqzylm,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
282,95,high,mtpv,tank,,,4,4.34,4.8,0.55,6.471,4.0,7.17,533.578947368421
283,95,mid,armoured,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
284,95,low,xkq,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
285,96,high,kmlsdjtw,tractor,,,7,3.84,5.0,0.0,6.706,5.324,5.5,596.65
286,96,mid,farm,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
287,96,low,htbqzylm,vehicle,,,7,4.52,4.64,0.68,6.233,5.438,6.58,570.026315789474
288,97,high,rjdnw,bottle,,,6,4.65,4.91,0.44,6.536,5.355,3.56,550.421052631579
289,97,mid,water,vessel,,,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
290,97,low,rvqf,vessel,,,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
291,98,high,wvcnz,vase,Is it decorative?,yes,4,4.27,5.0,0.0,6.294,5.6,7.89,622.425
292,98,mid,flower,vessel,,,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
293,98,low,ptrgsbkv,vessel,Does it carry water?,yes,6,3.93,4.66,0.67,5.529,5.088,9.94,588.194444444444
294,99,high,fxldmr,champagne,,,9,4.22,4.82,0.48,,,10.26,610.225
295,99,mid,fizzy,wine,,,4,4.84,4.79,0.5,6.618,6.229,7.9,523.0
296,99,low,rjdnw,wine,,,4,4.84,4.79,0.5,6.618,6.229,7.9,523.0
297,100,high,ypdcglkc,pasta,,,5,4.19,4.86,0.36,6.636,5.97,5.78,551.051282051282
298,100,mid,Italian,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
299,100,low,tqvgqrz,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
300,101,high,zrtqgfplh,sushi,,,5,3.4,4.96,0.19,,,11.19,
301,101,mid,Japanese,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
302,101,low,vpbyzkgrf,food,,,4,5.45,4.8,0.82,6.5,7.606,3.25,499.184210526316
