word,item_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
vogue,1612,abstract,3.453890348,noun,5,11.6,2.15,1.13
neglect,1621,abstract,3.647558762,noun,7,9.84,2.26,0.98
hater,1690,abstract,2.521810529,noun,5,10.71,2.21,1.15
satire,1693,abstract,3.395573452,noun,6,13.07,1.96,1.0
deceit,1752,abstract,3.013799061,noun,6,10.95,2.37,1.13
value,1758,abstract,5.004641466,noun,5,6.78,1.62,0.88
premium,1791,abstract,3.935535545,noun,7,9.95,2.11,1.1
renown,1799,abstract,2.420011596,noun,6,11.0,1.68,0.85
rivalry,1861,abstract,3.697901788,noun,7,10.86,2.14,1.13
pride,1868,abstract,4.479139007,noun,5,8.95,1.66,1.01
lament,1876,abstract,2.822840525,noun,6,11.81,1.75,1.07
control,1886,abstract,5.139577387,noun,7,7.26,1.93,1.13
ruse,1896,abstract,2.778521097,noun,4,12.17,1.57,0.77
fate,1904,abstract,4.224395371,noun,4,10.3,1.53,0.97
nuance,1910,abstract,2.515279662,noun,6,11.05,1.85,1.03
amnesty,1920,abstract,3.466587738,noun,7,12.95,2.18,1.12
dissent,1942,abstract,3.21687381,noun,7,11.44,2.17,1.13
qualm,1957,abstract,1.809679079,noun,5,12.67,2.0,1.19
vantage,1969,abstract,3.284567452,noun,7,12.1,1.93,1.05
brunt,1982,abstract,3.453890348,noun,5,12.52,2.21,1.2
conceit,1989,abstract,2.553068223,noun,7,12.3,2.1,1.16
morale,2010,abstract,3.724713431,noun,6,10.62,1.85,1.1
finesse,2045,abstract,3.212931624,noun,7,12.39,1.86,1.08
wit,2108,abstract,3.674828627,noun,3,11.05,1.93,1.12
lowdown,2117,abstract,2.614813819,noun,7,12.28,2.38,1.2
evasion,2150,abstract,3.276660702,noun,7,12.0,2.46,1.17
misdeed,2185,abstract,1.394705731,noun,7,10.56,2.3,1.14
ethos,2188,abstract,3.467323207,noun,5,15.71,1.58,0.72
duality,2201,abstract,2.297795718,noun,7,12.87,1.93,1.12
ploy,2214,abstract,3.088432679,noun,4,12.5,2.21,1.15
