,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
217,hemp,37,concrete,2.620015012,noun,4,12.94,4.85,0.46,privative,spurious,spurious hemp
219,snub,37,abstract,2.614813819,noun,4,12.1,2.41,1.15,subsective,perfect,perfect snub
220,snub,37,abstract,2.614813819,noun,4,12.1,2.41,1.15,privative,mock,mock snub
222,pendant,38,concrete,3.457663565,noun,7,10.3,4.75,0.59,subsective,genuine,genuine pendant
223,pendant,38,concrete,3.457663565,noun,7,10.3,4.75,0.59,privative,fictional,fictional pendant
225,urgency,38,abstract,3.582226451,noun,7,9.81,2.03,1.12,subsective,real,real urgency
226,urgency,38,abstract,3.582226451,noun,7,9.81,2.03,1.12,privative,mythical,mythical urgency
228,crypt,39,concrete,2.871826985,noun,5,10.68,4.75,0.61,subsective,current,current crypt
229,crypt,39,concrete,2.871826985,noun,5,10.68,4.75,0.61,privative,false,false crypt
231,piety,39,abstract,2.664218675,noun,5,12.6,1.56,0.82,subsective,bad,bad piety
232,piety,39,abstract,2.664218675,noun,5,12.6,1.56,0.82,privative,fake,fake piety
234,rotator,40,concrete,1.974489327,noun,7,13.5,4.45,0.78,subsective,unique,unique rotator
235,rotator,40,concrete,1.974489327,noun,7,13.5,4.45,0.78,privative,virtual,virtual rotator
237,levity,40,abstract,2.18709742,noun,6,14.78,1.81,1.06,subsective,genuine,genuine levity
238,levity,40,abstract,2.18709742,noun,6,14.78,1.81,1.06,privative,fictional,fictional levity
240,author,41,concrete,4.233554821,noun,6,7.1,4.26,1.1,subsective,average,average author
241,author,41,concrete,4.233554821,noun,6,7.1,4.26,1.1,privative,fabricated,fabricated author
243,privacy,41,abstract,4.036576276,noun,7,7.84,1.5,0.58,subsective,real,real privacy
244,privacy,41,abstract,4.036576276,noun,7,7.84,1.5,0.58,privative,mythical,mythical privacy
246,giblet,42,concrete,1.951008231,noun,6,11.72,4.62,0.8,subsective,current,current giblet
247,giblet,42,concrete,1.951008231,noun,6,11.72,4.62,0.8,privative,false,false giblet
249,egotism,42,abstract,1.809679079,noun,7,13.68,1.9,1.18,subsective,real,real egotism
250,egotism,42,abstract,1.809679079,noun,7,13.68,1.9,1.18,privative,mythical,mythical egotism
252,scale,43,concrete,4.715225889,noun,5,8.85,4.39,0.83,subsective,new,new scale
253,scale,43,concrete,4.715225889,noun,5,8.85,4.39,0.83,privative,hypothetical,hypothetical scale
255,quality,43,abstract,5.007447215,noun,7,8.78,2.18,1.19,subsective,perfect,perfect quality
256,quality,43,abstract,5.007447215,noun,7,8.78,2.18,1.19,privative,mock,mock quality
258,buttock,44,concrete,2.553068223,noun,7,10.44,4.79,0.63,subsective,typical,typical buttock
259,buttock,44,concrete,2.553068223,noun,7,10.44,4.79,0.63,privative,spurious,spurious buttock
261,snide,44,abstract,2.428129486,noun,5,10.33,2.04,1.08,subsective,old,old snide
262,snide,44,abstract,2.428129486,noun,5,10.33,2.04,1.08,privative,imaginary,imaginary snide
264,limo,45,concrete,3.245964079,noun,4,8.42,4.7,0.79,subsective,good,good limo
265,limo,45,concrete,3.245964079,noun,4,8.42,4.7,0.79,privative,fictitious,fictitious limo
267,saga,45,abstract,3.530791828,noun,4,10.42,2.19,1.2,subsective,new,new saga
268,saga,45,abstract,3.530791828,noun,4,10.42,2.19,1.2,privative,hypothetical,hypothetical saga
270,worker,46,concrete,4.28097079,noun,6,6.67,4.59,0.73,subsective,genuine,genuine worker
271,worker,46,concrete,4.28097079,noun,6,6.67,4.59,0.73,privative,fictional,fictional worker
273,fantasy,46,abstract,3.995678626,noun,7,8.4,1.59,0.95,subsective,bad,bad fantasy
274,fantasy,46,abstract,3.995678626,noun,7,8.4,1.59,0.95,privative,fake,fake fantasy
276,server,47,concrete,2.933781829,noun,6,9.94,4.55,0.91,subsective,genuine,genuine server
277,server,47,concrete,2.933781829,noun,6,9.94,4.55,0.91,privative,fictional,fictional server
279,creed,47,abstract,3.064951584,noun,5,9.17,2.1,0.98,subsective,typical,typical creed
280,creed,47,abstract,3.064951584,noun,5,9.17,2.1,0.98,privative,spurious,spurious creed
282,tenant,48,concrete,3.739490853,noun,6,10.33,4.55,0.95,subsective,new,new tenant
283,tenant,48,concrete,3.739490853,noun,6,10.33,4.55,0.95,privative,hypothetical,hypothetical tenant
285,essence,48,abstract,3.964313698,noun,7,11.9,1.66,1.08,subsective,unique,unique essence
286,essence,48,abstract,3.964313698,noun,7,11.9,1.66,1.08,privative,virtual,virtual essence
288,bong,49,concrete,3.450084062,noun,4,14.16,4.27,1.19,subsective,bad,bad bong
289,bong,49,concrete,3.450084062,noun,4,14.16,4.27,1.19,privative,fake,fake bong
291,stigma,49,abstract,3.316912008,noun,6,15.56,1.76,0.97,subsective,current,current stigma
292,stigma,49,abstract,3.316912008,noun,6,15.56,1.76,0.97,privative,false,false stigma
294,tropics,50,concrete,3.059347706,noun,7,10.47,4.08,1.02,subsective,good,good tropics
295,tropics,50,concrete,3.059347706,noun,7,10.47,4.08,1.02,privative,fictitious,fictitious tropics
297,catchy,50,abstract,3.311685778,noun,6,8.74,1.79,0.98,subsective,typical,typical catchy
298,catchy,50,abstract,3.311685778,noun,6,8.74,1.79,0.98,privative,spurious,spurious catchy
300,brake,51,concrete,3.839374961,noun,5,5.95,4.44,0.87,subsective,actual,actual brake
301,brake,51,concrete,3.839374961,noun,5,5.95,4.44,0.87,privative,artificial,artificial brake
303,sin,51,abstract,3.95676056,noun,3,6.74,1.85,1.2,subsective,new,new sin
304,sin,51,abstract,3.95676056,noun,3,6.74,1.85,1.2,privative,hypothetical,hypothetical sin
306,cellar,52,concrete,3.789857322,noun,6,8.94,4.68,0.86,subsective,actual,actual cellar
