noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase,frequency_dep,frequency_seq
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,subsective,unique,unique myth,0.0,0.0
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,privative,virtual,virtual myth,0.0,0.0
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,baseline,ypdcglkc,ypdcglkc myth,0.0,0.0
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,subsective,actual,actual bomb,0.0,0.0
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,privative,artificial,artificial bomb,0.0,0.0
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,baseline,zrtqgfplh,zrtqgfplh bomb,0.0,0.0
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,subsective,current,current shame,0.0,0.0
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,privative,false,false shame,0.0,0.0
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,baseline,rjdnw,rjdnw shame,0.0,0.0
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,subsective,true,true stab,0.0,0.0
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,privative,phony,phony stab,0.0,0.0
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,baseline,zbxlv,zbxlv stab,0.0,0.0
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,subsective,real,real sin,0.0,0.0
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,privative,mythical,mythical sin,0.0,0.0
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,baseline,bxfjwts,bxfjwts sin,0.0,0.0
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714,subsective,current,current beer,0.0,0.0
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714,privative,false,false beer,0.0,0.0
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714,baseline,mghljkqr,mghljkqr beer,0.0,0.0
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,subsective,actual,actual fame,0.0,0.0
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,privative,artificial,artificial fame,0.0,0.0
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,baseline,bxfjwts,bxfjwts fame,0.0,0.0
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,subsective,typical,typical book,0.0,0.0
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,privative,spurious,spurious book,0.0,0.0
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,baseline,zbxlv,zbxlv book,0.0,0.0
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,subsective,average,average care,0.0,0.0
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,privative,fabricated,fabricated care,0.0,0.0
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,baseline,zbxlv,zbxlv care,0.0,0.0
monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818,subsective,special,special monarch,0.0,0.0
monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818,privative,past,past monarch,0.0,0.0
monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818,baseline,rvqf,rvqf monarch,0.0,0.0
glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0,subsective,special,special glamour,0.0,0.0
glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0,privative,past,past glamour,0.0,0.0
glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0,baseline,bxfjwts,bxfjwts glamour,0.0,0.0
visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645,subsective,bad,bad visa,0.0,0.0
visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645,privative,fake,fake visa,0.0,0.0
visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645,baseline,zrtqgfplh,zrtqgfplh visa,0.0,0.0
lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171,subsective,authentic,authentic lust,0.0,0.0
lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171,privative,counterfeit,counterfeit lust,0.0,0.0
lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171,baseline,fxldmr,fxldmr lust,0.0,0.0
sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143,subsective,current,current sheepskin,0.0,0.0
sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143,privative,false,false sheepskin,0.0,0.0
sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143,baseline,ptrgsbkv,ptrgsbkv sheepskin,0.0,0.0
thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879,subsective,authentic,authentic thrifty,0.0,0.0
thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879,privative,counterfeit,counterfeit thrifty,0.0,0.0
thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879,baseline,xkq,xkq thrifty,0.0,0.0
item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647,subsective,typical,typical item,0.0,0.0
item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647,privative,spurious,spurious item,0.0,0.0
item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647,baseline,xkq,xkq item,0.0,0.0
limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529,subsective,old,old limit,0.0,0.0
limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529,privative,imaginary,imaginary limit,0.0,0.0
limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529,baseline,rvqf,rvqf limit,0.0,0.0
prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0,subsective,perfect,perfect prison,0.0,0.0
prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0,privative,mock,mock prison,0.0,0.0
prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0,baseline,bxfjwts,bxfjwts prison,0.0,0.0
trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429,subsective,genuine,genuine trouble,0.0,0.0
trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429,privative,fictional,fictional trouble,0.0,0.0
trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429,baseline,ptrgsbkv,ptrgsbkv trouble,0.0,0.0
