noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
nozzle,112,concrete,2.874712673,noun,6,9.32,4.91,0.3
deceit,112,abstract,3.013799061,noun,6,10.95,2.37,1.13
month,113,concrete,5.079909865,noun,5,5.79,4.2,0.96
value,113,abstract,5.004641466,noun,5,6.78,1.62,0.88
puree,114,concrete,3.978131231,noun,5,10.94,4.16,1.11
premium,114,abstract,3.935535545,noun,7,9.95,2.11,1.1
tonsil,115,concrete,2.252038227,noun,6,9.5,4.72,0.53
renown,115,abstract,2.420011596,noun,6,11.0,1.68,0.85
vessel,116,concrete,3.934032794,noun,6,9.94,4.66,0.67
rivalry,116,abstract,3.697901788,noun,7,10.86,2.14,1.13
dip,117,concrete,4.222462594,noun,3,7.0,4.22,0.97
pride,117,abstract,4.479139007,noun,5,8.95,1.66,1.01
trachea,118,concrete,2.686961802,noun,7,12.05,4.48,0.83
lament,118,abstract,2.822840525,noun,6,11.81,1.75,1.07
office,119,concrete,5.133502139,noun,6,6.68,4.93,0.27
control,119,abstract,5.139577387,noun,7,7.26,1.93,1.13
clove,120,concrete,3.074133627,noun,5,10.88,4.42,0.86
ruse,120,abstract,2.778521097,noun,4,12.17,1.57,0.77
bass,121,concrete,4.176317513,noun,4,8.63,4.31,1.04
fate,121,abstract,4.224395371,noun,4,10.3,1.53,0.97
garb,122,concrete,2.443923753,noun,4,12.05,4.19,1.11
nuance,122,abstract,2.515279662,noun,6,11.05,1.85,1.03
cubicle,123,concrete,3.228490105,noun,7,13.11,4.83,0.76
amnesty,123,abstract,3.466587738,noun,7,12.95,2.18,1.12
decoy,124,concrete,2.976769093,noun,5,9.44,4.34,1.14
dissent,124,abstract,3.21687381,noun,7,11.44,2.17,1.13
insole,125,concrete,1.871826985,noun,6,12.21,4.11,1.19
qualm,125,abstract,1.809679079,noun,5,12.67,2.0,1.19
capsule,126,concrete,3.379682857,noun,7,10.44,4.52,0.95
vantage,126,abstract,3.284567452,noun,7,12.1,1.93,1.05
gland,127,concrete,3.17860931,noun,5,10.61,4.14,1.18
brunt,127,abstract,3.453890348,noun,5,12.52,2.21,1.2
anthrax,128,concrete,2.473886977,noun,7,14.26,4.44,1.15
conceit,128,abstract,2.553068223,noun,7,12.3,2.1,1.16
nectar,129,concrete,3.547605327,noun,6,8.95,4.63,0.67
morale,129,abstract,3.724713431,noun,6,10.62,1.85,1.1
cumin,130,concrete,3.483196201,noun,5,12.85,4.93,0.27
finesse,130,abstract,3.212931624,noun,7,12.39,1.86,1.08
gong,131,concrete,3.432132228,noun,4,9.62,4.7,0.84
wit,131,abstract,3.674828627,noun,3,11.05,1.93,1.12
scabies,132,concrete,2.403305902,noun,7,12.0,4.24,1.18
lowdown,132,abstract,2.614813819,noun,7,12.28,2.38,1.2
beret,133,concrete,2.983537456,noun,5,10.33,4.8,0.65
evasion,133,abstract,3.276660702,noun,7,12.0,2.46,1.17
sealer,134,concrete,1.598825713,noun,6,10.12,4.17,0.95
misdeed,134,abstract,1.394705731,noun,7,10.56,2.3,1.14
webcam,135,concrete,3.175742669,noun,6,15.57,4.89,0.31
ethos,135,abstract,3.467323207,noun,5,15.71,1.58,0.72
enema,136,concrete,2.481065561,noun,5,13.56,4.44,0.8
duality,136,abstract,2.297795718,noun,7,12.87,1.93,1.12
kiln,137,concrete,3.249618753,noun,4,10.69,4.82,0.61
ploy,137,abstract,3.088432679,noun,4,12.5,2.21,1.15
velcro,138,concrete,2.96524867,noun,6,11.48,4.92,0.27
disdain,138,abstract,2.729159482,noun,7,13.44,1.83,0.89
sage,139,concrete,3.677101235,noun,4,11.39,4.54,0.84
quaint,139,abstract,3.413406229,noun,6,12.58,1.81,0.92
lentil,140,concrete,2.848024071,noun,6,13.06,4.48,1.12
sexism,140,abstract,2.969893575,noun,6,13.63,1.61,0.92
silt,141,concrete,3.017955021,noun,4,11.75,4.71,0.53
fetish,141,abstract,2.841863762,noun,6,13.44,2.48,1.15
flank,142,concrete,3.16995199,noun,5,12.15,4.0,1.1
rapport,142,abstract,3.038158407,noun,7,13.18,1.84,1.07
geisha,143,concrete,2.883256447,noun,6,14.24,4.42,0.93
latent,143,abstract,2.587830329,noun,6,15.17,1.81,1.0
harem,144,concrete,2.819587367,noun,5,11.0,4.38,1.02
bravado,144,abstract,2.923622431,noun,7,12.88,1.93,1.12
tundra,145,concrete,2.809679079,noun,6,12.06,4.21,1.11
fallacy,145,abstract,2.630234177,noun,7,13.83,1.8,1.15
email,146,concrete,3.762434277,noun,5,11.52,4.69,0.55
turmoil,146,abstract,3.677101235,noun,7,12.84,2.11,1.01
fiber,147,concrete,1.649978236,noun,5,10.82,4.5,1.04
jilt,147,abstract,1.598825713,noun,4,12.28,2.0,1.15
bank,148,concrete,5.280146112,noun,4,6.44,4.78,0.61
moment,148,abstract,5.574383885,noun,6,7.95,1.61,1.1
thong,149,concrete,2.960553549,noun,5,12.41,4.93,0.27
empathy,149,abstract,3.195422809,noun,7,14.32,1.63,1.01
