item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Kuperman,CNC.Brysbaert.M,CNC.Brysbaert.SD
1441,Concrete,A2,quiche,3.245964079,noun,6,13.13,4.53,0.94
1442,Concrete,A2,drape,2.564967446,noun,5,9.11,4.5,0.82
1454,Concrete,A2,pellet,2.813007022,noun,6,10.18,4.56,0.75
1460,Concrete,A2,bongo,3.038158407,noun,5,8.4,4.77,0.43
1463,Concrete,A2,dwarf,3.585037429,noun,5,7.65,4.45,0.95
1468,Concrete,A2,vagina,3.138215495,noun,6,8.89,4.82,0.77
1472,Concrete,A2,alcove,2.68250746,noun,6,12.11,4.08,1.21
1474,Concrete,A2,arcade,3.327179495,noun,6,7.79,4.74,0.53
1475,Concrete,A2,rail,4.397130995,noun,4,7.89,4.9,0.41
1478,Concrete,A2,clergy,3.362253707,noun,6,10.15,4.03,1.3
1487,Concrete,A2,casing,3.074133627,noun,6,11.53,4.28,1.33
1489,Concrete,A2,warship,3.091935073,noun,7,10.44,4.86,0.44
1494,Concrete,A2,acre,3.925929105,noun,4,9.8,4.18,1.22
1508,Concrete,A2,neon,3.269766994,noun,4,8,4.07,1.26
1513,Concrete,A1,slum,3.320017822,noun,4,11.9,4.03,0.98
1515,Concrete,A2,mogul,2.865997442,noun,5,12.32,4.04,1.31
1526,Concrete,A2,squid,3.824134995,noun,5,7.32,4.71,0.71
1528,Concrete,A2,flea,3.499875159,noun,4,7.79,4.89,0.32
1532,Concrete,A1,marrow,3.595008914,noun,6,12.16,4.48,0.96
1535,Concrete,A2,county,4.768059164,noun,6,8.9,4.04,1.1
1536,Concrete,A2,truffle,3.602070768,noun,7,13.62,4.6,0.97
1541,Concrete,A2,child,5.144720153,noun,5,5.15,4.78,0.58
1546,Concrete,A2,airport,4.543431747,noun,7,6.84,4.87,0.43
1551,Concrete,A2,teat,2.712769065,noun,4,11.94,4.38,1.24
1552,Concrete,A2,board,5.098942068,noun,5,6.37,4.57,1
1557,Concrete,A2,larva,2.737128411,noun,5,8.83,4.52,0.82
1561,Concrete,A1,sulfur,1.649978236,noun,6,13.6,4.43,0.94
1571,Concrete,A1,pesto,3.343118696,noun,5,13.8,4.46,0.78
1572,Concrete,A2,barge,3.596102855,noun,5,9.28,4.66,0.9
1573,Concrete,A1,bugle,3.013799061,noun,5,8.88,4.84,0.47
1578,Concrete,A2,haze,3.161118578,noun,4,11.62,4.04,1.02
1579,Concrete,A1,abscess,2.946155729,noun,7,13.11,4.48,0.8
1589,Concrete,A2,nurse,4.497824984,noun,5,5.84,4.39,0.96
1592,Concrete,A2,sod,3.568474554,noun,3,10.82,4.62,0.77
1596,Concrete,A2,grenade,3.357548412,noun,7,9.72,4.9,0.56
1597,Concrete,A2,podium,4.166293211,noun,6,9.35,4.89,0.31
1600,Concrete,A2,roofer,2.712769065,noun,6,7.84,4.79,0.5
1602,Concrete,A2,tee,3.848635323,noun,3,8.21,4.59,0.91
1606,Concrete,A2,choir,4.241290233,noun,5,6.53,4.34,1.14
1607,Concrete,A1,island,4.964337097,noun,6,7.41,4.96,0.19
1612,Concrete,A2,relic,3.395573452,noun,5,10.63,4.07,1.11
1614,Concrete,A2,bisque,3.150580586,noun,6,14,4.08,1.29
1621,Concrete,A2,depot,3.447784174,noun,5,9.11,4.14,1.16
1653,Concrete,A1,router,2.620015012,noun,6,12.68,4.19,1.33
1656,Concrete,A2,hearse,2.91321967,noun,6,9.89,4.85,0.46
1657,Concrete,A2,band,4.935510541,noun,4,6.16,4.68,0.77
1664,Concrete,A2,racket,3.621563301,noun,6,8.2,4.26,1.1
