,noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase
154,fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,privative,artificial,artificial fame
155,fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063,baseline,bxfjwts,bxfjwts fame
156,book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,subsective,typical,typical book
157,book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,privative,spurious,spurious book
158,book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643,baseline,zbxlv,zbxlv book
159,care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,subsective,average,average care
160,care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,privative,fabricated,fabricated care
161,care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212,baseline,zbxlv,zbxlv care
162,monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818,subsective,special,special monarch
163,monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818,privative,past,past monarch
164,monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818,baseline,rvqf,rvqf monarch
165,glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0,subsective,special,special glamour
166,glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0,privative,past,past glamour
167,glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0,baseline,bxfjwts,bxfjwts glamour
168,visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645,subsective,bad,bad visa
169,visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645,privative,fake,fake visa
170,visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645,baseline,zrtqgfplh,zrtqgfplh visa
171,lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171,subsective,authentic,authentic lust
172,lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171,privative,counterfeit,counterfeit lust
173,lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171,baseline,fxldmr,fxldmr lust
174,sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143,subsective,current,current sheepskin
175,sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143,privative,false,false sheepskin
176,sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143,baseline,ptrgsbkv,ptrgsbkv sheepskin
177,thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879,subsective,authentic,authentic thrifty
178,thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879,privative,counterfeit,counterfeit thrifty
179,thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879,baseline,xkq,xkq thrifty
180,item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647,subsective,typical,typical item
