"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
135,"Abstract","A1","indignant",2.329204182,"adjective",9,12.28,1.71
135,"Concrete","A1","midterm",2.339188403,"adjective",7,13.16,4.11
136,"Abstract","A1","listlessness",1.394705731,"noun",12,12.88,1.74
136,"Concrete","A1","streetwalker",1.540833766,"noun",12,12.61,4.33
137,"Abstract","A1","incompatible",2.782095557,"adjective",12,11.42,1.82
137,"Concrete","A1","invertebrate",2.604220745,"adjective",12,10.78,4
138,"Abstract","A1","difficulty",4.28209795,"noun",10,6.83,1.9
138,"Concrete","A1","passenger",4.109873088,"noun",9,6.65,4.34
139,"Abstract","A1","unpleasant",3.784580289,"adjective",10,9.32,1.91
139,"Concrete","A1","civilian",3.908455881,"adjective",8,9.76,4.25
140,"Abstract","A2","brainpower",2.367833584,"noun",10,8.95,1.56
140,"Concrete","A2","wristband",2.41173907,"noun",9,8,4.79
141,"Abstract","A1","unashamed",2.318985017,"adjective",9,9.79,1.67
141,"Concrete","A1","pleated",2.252038227,"adjective",7,9.69,4.33
142,"Abstract","A2","furthermost",1.737128411,"name",11,11.63,1.92
142,"Concrete","A2","headhunter",1.737128411,"name",10,12.18,4.24
143,"Abstract","A1","diligent",2.880427157,"adjective",8,11.78,1.69
143,"Concrete","A1","acrylic",2.785640838,"adjective",7,11.56,4.31
144,"Abstract","A1","gist",2.974489327,"noun",4,11.3,1.81
144,"Concrete","A1","sniper",3.150580586,"noun",6,11.05,4.55
145,"Abstract","A2","braveness",1.394705731,"noun",9,8.26,1.92
145,"Concrete","A2","icepick",1.297795718,"noun",7,9,4.68
146,"Abstract","A1","impunity",2.857103728,"noun",8,12.71,1.77
146,"Concrete","A1","ledger",2.899855709,"noun",6,12.78,4.36
147,"Abstract","A2","heaven",4.601693425,"noun",6,4.22,1.81
147,"Concrete","A2","wood",4.779882859,"noun",4,4.58,4.85
148,"Abstract","A1","logics",1.297795718,"noun",6,11.71,1.79
148,"Concrete","A1","carjack",1.297795718,"noun",7,12.33,4.39
149,"Abstract","A1","senseless",2.951008231,"adjective",9,9.95,1.69
149,"Concrete","A1","nicotine",3.061223711,"adjective",8,10.22,4.1
150,"Abstract","A1","apprehension",2.91321967,"noun",12,11.25,1.68
150,"Concrete","A1","headmistress",2.998931784,"noun",12,11,4.56
151,"Abstract","A1","humiliation",3.488127416,"noun",11,8.21,1.96
151,"Concrete","A1","packaging",3.67981276,"noun",9,8.89,4.44
152,"Abstract","A2","mightiness",1.394705731,"noun",10,8.5,1.83
152,"Concrete","A2","candleholder",1.473886977,"noun",12,7.78,4.85
153,"Abstract","A2","concept",4.237190155,"noun",7,11.44,1.41
153,"Concrete","A2","chairman",4.348368794,"noun",8,10.84,4.31
154,"Abstract","A1","exempt",3.234811825,"adjective",6,13.11,1.93
154,"Concrete","A1","android",3.222075004,"adjective",7,13.89,4.22
155,"Abstract","A2","sarcasm",3.022071587,"noun",7,9.06,1.63
155,"Concrete","A2","trinket",2.983537456,"noun",7,9.39,4.48
156,"Abstract","A2","learnable",1.172856981,"adjective",9,7.63,1.76
156,"Concrete","A2","longhaired",1.172856981,"adjective",10,7.05,4.18
157,"Abstract","A1","existence",4.092283764,"noun",9,11.61,1.54
157,"Concrete","A1","mainland",3.906856267,"noun",8,11.63,4.31
158,"Abstract","A1","unimpressive",2.466587738,"adjective",12,9.68,1.97
158,"Concrete","A1","vertebrate",2.403305902,"adjective",10,10.55,4.38
159,"Abstract","A2","distrust",2.96524867,"noun",8,10.1,1.44
159,"Concrete","A2","fondue",3.03219546,"noun",6,10.78,4.79
160,"Abstract","A1","splendid",4.046371334,"adjective",8,7.22,1.79
160,"Concrete","A1","concrete",4.21857104,"adjective",8,7.44,4.59
161,"Abstract","A1","harmless",3.616380728,"adjective",8,7.7,1.9
161,"Concrete","A1","dictionary",3.576549318,"adjective",10,7.28,4.62
