,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract,exclude?
116,gecko,464,concrete,3.077752769,noun,5,10.32,4.76,0.72,anguish,464,abstract,3.156633569,noun,7,11.54,2.38,1.27,
117,crypt,465,concrete,2.871826985,noun,5,10.68,4.75,0.61,piety,465,abstract,2.664218675,noun,5,12.6,1.56,0.82,
118,rotator,468,concrete,1.974489327,noun,7,13.5,4.45,0.78,levity,468,abstract,2.18709742,noun,6,14.78,1.81,1.06,
119,shrew,474,concrete,3.168492176,noun,5,11.82,4.07,1.27,angst,474,abstract,3.047918244,noun,5,13.12,1.96,1.09,
120,wink,476,concrete,3.456911539,noun,4,7.65,4.23,1.03,prep,476,abstract,3.557270137,noun,4,9.24,2.36,1.32,
121,author,482,concrete,4.233554821,noun,6,7.1,4.26,1.1,privacy,482,abstract,4.036576276,noun,7,7.84,1.5,0.58,
122,wiper,492,concrete,2.678006959,noun,5,8.37,4.56,0.89,goner,492,abstract,2.829274635,noun,5,9.35,2.12,0.93,
123,giblet,493,concrete,1.951008231,noun,6,11.72,4.62,0.8,egotism,493,abstract,1.809679079,noun,7,13.68,1.9,1.18,
124,gamer,495,concrete,2.451610582,noun,5,11.65,4,0.92,inertia,495,abstract,2.640218398,noun,7,12.84,2.43,1.43,
125,kelp,501,concrete,3.180035566,noun,4,10.22,4.9,0.56,demise,501,abstract,3.437674804,noun,6,10.67,2.31,1.39,
126,scale,503,concrete,4.715225889,noun,5,8.85,4.39,0.83,quality,503,abstract,5.007447215,noun,7,8.78,2.18,1.19,
127,galley,514,concrete,3.164083057,noun,6,12.69,4.07,1.54,pomp,514,abstract,3.232294169,noun,4,12.38,2.44,1.39,
128,buttock,516,concrete,2.553068223,noun,7,10.44,4.79,0.63,snide,516,abstract,2.428129486,noun,5,10.33,2.04,1.08,
129,scuba,522,concrete,3.202240759,noun,5,7.6,4.23,0.82,goody,522,abstract,3.430535556,noun,5,7,2.04,1.26,
130,goose,527,concrete,4.027770003,noun,5,5.15,4.81,0.65,basics,527,abstract,3.875574654,noun,6,6.47,2.27,1.28,
131,clone,531,concrete,3.03219546,noun,5,8.89,4.34,0.86,boredom,531,abstract,3.261583545,noun,7,7.68,1.96,1.32,
132,nylon,533,concrete,3.100569443,noun,5,10,4.7,0.82,lull,533,abstract,2.953414301,noun,4,10.61,2.32,1.28,
133,limo,534,concrete,3.245964079,noun,4,8.42,4.7,0.79,saga,534,abstract,3.530791828,noun,4,10.42,2.19,1.2,
134,toolkit,538,concrete,2.521810529,noun,7,7.83,4.76,0.69,jiffy,538,abstract,2.785640838,noun,5,9.33,2.33,1.35,
135,glass,539,concrete,4.918894069,noun,5,4.47,4.82,0.48,trouble,539,abstract,5.082519966,noun,7,4.56,2.25,1.32,
136,beacon,544,concrete,3.433723053,noun,6,11.37,4.38,0.86,strife,544,abstract,3.158133724,noun,6,11.78,2.2,1.45,
137,worker,546,concrete,4.28097079,noun,6,6.67,4.59,0.73,fantasy,546,abstract,3.995678626,noun,7,8.4,1.59,0.95,
138,brandy,547,concrete,3.830231582,noun,6,12.1,4.81,0.62,closure,547,abstract,3.976769093,noun,7,12.11,1.78,1.28,
139,page,552,concrete,4.524008838,noun,4,5.16,4.9,0.31,skill,552,abstract,4.397907677,noun,5,6.8,2.17,1.29,
140,pupil,559,concrete,3.932776518,noun,5,8.06,4.55,0.63,rating,559,abstract,3.855904019,noun,6,9.47,2.26,1.29,
141,server,562,concrete,2.933781829,noun,6,9.94,4.55,0.91,creed,562,abstract,3.064951584,noun,5,9.17,2.1,0.98,
142,tenant,564,concrete,3.739490853,noun,6,10.33,4.55,0.95,essence,564,abstract,3.964313698,noun,7,11.9,1.66,1.08,
