display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,bronze,alloy,left,more
trial_experimental,1,skewered meat,kebab,right,more
trial_experimental,1,turkey,poultry,right,more
trial_experimental,1,horse-drawn vehicle,chariot,right,more
trial_experimental,1,pasta,food,right,more
trial_experimental,1,empress,female ruler,right,more
trial_experimental,1,tank,vehicle,left,more
trial_experimental,1,magnetic metal,iron,left,more
trial_experimental,1,boat,yacht,left,more
trial_experimental,1,banana,fruit,left,more
trial_experimental,1,Japanese dish,sushi,left,more
trial_experimental,1,ointment,cream,left,more
trial_experimental,1,petty crime,shoplifting,right,more
trial_experimental,1,outer garment,garment,right,more
trial_experimental,1,teaching institution,institution,right,more
trial_experimental,1,seasonal illness,illness,left,more
trial_experimental,1,swan,bird,right,more
trial_experimental,1,mob,protesting crowd,right,more
trial_experimental,1,durian,fruit,left,more
trial_experimental,1,backless seat,stool,left,more
trial_experimental,1,whiskey,liquor,left,more
trial_experimental,1,weather,violent weather,left,more
trial_experimental,1,stench,unpleasant odour,left,more
trial_experimental,1,collection,anthology,left,more
trial_experimental,1,mammal,bat,left,more
end,,end,end,end,more
