display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,tank,vehicle,right,less
trial_experimental,1,vegetable,spherical vegetable,left,less
trial_experimental,1,head sculpture,bust,left,less
trial_experimental,1,boy,young male,right,less
trial_experimental,1,green gem,gem,right,less
trial_experimental,1,bagel,bread,right,less
trial_experimental,1,mammal,tall mammel,left,less
trial_experimental,1,grasping instrument,forceps,left,less
trial_experimental,1,stream,narrow river,right,less
trial_experimental,1,calling device,phone,left,less
trial_experimental,1,building,industrial building,left,less
trial_experimental,1,brown alloy,alloy,right,less
trial_experimental,1,church,religious building,right,less
trial_experimental,1,striped cat,tiger,left,less
trial_experimental,1,mammal,pouched mammal,left,less
trial_experimental,1,boat,yacht,left,less
trial_experimental,1,empress,ruler,right,less
trial_experimental,1,computer,portable computer,left,less
trial_experimental,1,industrial building,factory,left,less
trial_experimental,1,ketchup,sauce,right,less
trial_experimental,1,turkey,poultry,right,less
trial_experimental,1,red bird,bird,right,less
trial_experimental,1,purple vegetable,aubergine,left,less
trial_experimental,1,collection,poetry collection,left,less
trial_experimental,1,wooden shoe,shoe,right,less
trial_experimental,1,sapphire,blue gem,right,less
trial_experimental,1,vehicle,tractor,left,less
trial_experimental,1,rose,flower,right,less
trial_experimental,1,fir,tree,right,less
trial_experimental,1,submarine,underwater vehicle,right,less
trial_experimental,1,orange vegetable,vegetable,right,less
trial_experimental,1,predator,shark,left,less
trial_experimental,1,hospital,medical building,right,less
trial_experimental,1,building,religious building,left,less
trial_experimental,1,protective hat,hat,right,less
trial_experimental,1,instrument,forceps,left,less
trial_experimental,1,sparkling wine,champagne,left,less
trial_experimental,1,teaching institution,institution,right,less
trial_experimental,1,handle,round handle,left,less
trial_experimental,1,residential building,house,left,less
trial_experimental,1,building,church,left,less
trial_experimental,1,cunning plan,ploy,left,less
trial_experimental,1,crocodile,reptile,right,less
trial_experimental,1,bird,owl,left,less
trial_experimental,1,utensil,fork,left,less
trial_experimental,1,gem,emerald,left,less
trial_experimental,1,snacks,potato snacks,left,less
trial_experimental,1,instrument,grasping instrument,left,less
trial_experimental,1,icicle,frozen stick,right,less
trial_experimental,1,tortoise,reptile,right,less
trial_experimental,1,coniferous tree,tree,right,less
trial_experimental,1,kiwi,fuzzy fruit,right,less
trial_experimental,1,daffodil,flower,right,less
trial_experimental,1,juicy fruit,fruit,right,less
trial_experimental,1,crime,petty crime,left,less
trial_experimental,1,collection,anthology,left,less
trial_experimental,1,starchy vegetable,potato,left,less
trial_experimental,1,marine mammal,mammal,right,less
trial_experimental,1,dog,wrinkly dog,left,less
trial_experimental,1,wine,sparkling wine,left,less
trial_experimental,1,largest bird,bird,right,less
trial_experimental,1,school,teaching institution,right,less
trial_experimental,1,fast cat,cat,right,less
trial_experimental,1,calling device,device,right,less
trial_experimental,1,backless steat,seat,right,less
trial_experimental,1,tank,armoured vehicle,right,less
trial_experimental,1,mob,protesting crowd,right,less
end,,end,end,end,less
